"","Inoculum_1","Inoculum_2","Inoculum_3","Inoculum_4","Inoculum_5","Inoculum_6","Inoculum_7","Inoculum_8"
"806rcbc51",11212,11033,9300,9645,10745,9991,11227,13529
"806rcbc52",11346,11446,9335,9704,10920,10207,11388,13280
"806rcbc53",11492,11688,9394,9861,10988,10380,11332,13537
"806rcbc54",11538,12753,9516,9887,10781,10283,11447,13346
"806rcbc55",11524,11360,9304,9694,10852,10110,11169,13477
"806rcbc56",11428,11560,9260,9752,10886,10133,11498,13458
"806rcbc57",11308,11806,9499,9685,10761,10138,11100,13554
"806rcbc58",11417,11832,9272,9859,10951,10295,11334,13639
"806rcbc59",11423,11628,9334,9823,10820,10184,11321,13381
"806rcbc6",11834,11135,9293,9851,10793,10176,11508,13615
"806rcbc60",12161,11606,9529,10132,11306,10672,12070,13234
"806rcbc61",11275,11408,9237,9865,10809,10163,11401,13608
"806rcbc62",11835,12219,9754,10858,11234,10335,12255,13363
"806rcbc63",11240,11084,9471,9775,10826,9959,10762,13297
"806rcbc64",11524,11307,9352,9861,10801,9942,11312,13569
"806rcbc65",11439,11572,9321,9746,10806,11004,11355,13476
"806rcbc66",11527,11242,9321,10067,10870,10111,11294,13473
"806rcbc67",11627,11445,9195,9764,10836,10322,11254,13427
"806rcbc68",11165,11445,9412,9877,10671,10141,0,0
"806rcbc7",11992,11051,9320,9808,10758,9871,11033,13190
"806rcbc70",11381,11480,9291,9893,10846,10214,11533,13440
"806rcbc72",11357,11460,9180,9971,11020,10223,11221,13494
"806rcbc73",11195,11329,9207,10623,10550,9757,10524,12867
"806rcbc74",11323,11590,9379,9934,10748,10226,11284,13389
"806rcbc75",11452,11454,9211,9662,10744,9990,11339,13337
"806rcbc76",12571,12348,10305,10941,12447,11010,10561,12794
"806rcbc77",12764,12649,9959,11087,11745,11272,10581,12829
"806rcbc78",11408,11520,9430,10059,10708,10200,11378,13511
"806rcbc79",11487,11546,9307,10025,10966,10142,11369,13321
"806rcbc8",11986,11193,9937,9716,10733,9959,11475,13317
"806rcbc80",11448,11425,9293,9837,10946,10149,11806,13367
"806rcbc81",11250,11105,9212,9612,10480,9712,10526,12821
"806rcbc82",11417,11496,9372,9863,10880,10147,11191,13373
"806rcbc83",11413,11507,9382,9940,10751,10050,11300,13474
"806rcbc84",11387,11469,9289,9876,10662,10209,11708,13519
"806rcbc85",11545,11530,9379,9874,10734,10021,11148,13403
"806rcbc86",12141,12242,9953,10460,11246,10930,11141,12924
"806rcbc87",11508,11389,9432,9670,10867,10171,11723,13430
"806rcbc88",11530,11645,9373,9897,10800,9981,11308,13346
"806rcbc89",11255,11187,9198,9511,10473,9671,10470,13039
"806rcbc9",12693,11410,9442,10142,10947,10229,11593,13370
"806rcbc90",11483,11084,9401,9923,10795,11334,11461,13601
"806rcbc91",12498,11804,9946,10356,11207,10073,11240,13339
"806rcbc93",11927,11159,9691,9937,10793,10075,11640,13537
"806rcbc385",0,11036,9252,9573,10507,9783,10557,0
"806rcbc393",0,12316,10031,10476,11044,10590,10660,0
"806rcbc26",0,0,9035,0,10360,0,0,0
